open_timestamp_utc,close_timestamp_utc,open,high,low,close,volume
1565884980,1565885039,0.7597,0.7623,0.7596,0.762,15378
1565885040,1565885099,0.7621,0.7626,0.762,0.762,15828
1565885100,1565885159,0.7621,0.7669,0.762,0.7669,9691
1565885160,1565885219,0.7666,0.7677,0.7666,0.7677,1616
1565885220,1565885279,0.7693,0.78,0.7693,0.77,25210
1565885280,1565885339,0.77,0.7711,0.77,0.7711,31115
1565885340,1565885399,0.7711,0.7722,0.771,0.771,23371
1565885400,1565885459,0.7705,0.771,0.77,0.77,38633
1565885460,1565885519,0.77,0.7741,0.77,0.7741,19201
1565885520,1565885579,0.775,0.7784,0.7741,0.7784,10613
1565885580,1565885639,0.778,0.8,0.7,0.7515,115872
1565885640,1565885699,0.7765,0.8499,0.7682,0.7682,72267
1565885700,1565885759,0.7663,0.7663,0.7555,0.765,12203
1565885760,1565885819,0.76,0.765,0.76,0.7601,14129
1565885820,1565885879,0.7642,0.7642,0.7576,0.7576,13182
1565885880,1565885939,0.7578,0.7581,0.7555,0.7555,31632
1565885940,1565885999,0.7555,0.7565,0.7508,0.7508,17166
1565886000,1565886059,0.7501,0.7501,0.75,0.75,110
1565886060,1565886119,0.7526,0.7526,0.7486,0.7486,4
1565886120,1565886179,0.7392,0.744,0.725,0.7328,14062
1565886180,1565886239,0.7328,0.7362,0.716,0.7243,17767
1565886240,1565886299,0.7265,0.73,0.716,0.73,10051
1565886300,1565886359,0.73,0.7364,0.7287,0.7364,13886
1565886360,1565886419,0.7324,0.7352,0.7104,0.7334,36471
1565886420,1565886479,0.7316,0.732,0.7191,0.7305,18537
1565886480,1565886539,0.73,0.73,0.73,0.73,3930
1565886540,1565886599,0.7284,0.7299,0.7274,0.7299,7942
1565886600,1565886659,0.7285,0.7354,0.7285,0.7354,8189
1565886660,1565886719,0.7323,0.7323,0.7323,0.7323,212
1565886780,1565886839,0.7375,0.742,0.7375,0.742,5061
1565886840,1565886899,0.7385,0.7489,0.7371,0.7489,34292
1565886900,1565886959,0.7428,0.7518,0.7401,0.7401,16574
1565886960,1565887019,0.7401,0.7424,0.7401,0.7424,5026
1565887020,1565887079,0.7449,0.745,0.7449,0.745,836
1565887080,1565887139,0.7441,0.7447,0.744,0.744,2562
1565887140,1565887199,0.7427,0.7427,0.7402,0.7402,2686
1565887260,1565887319,0.7402,0.7402,0.7402,0.7402,3075
1565887380,1565887439,0.7404,0.7404,0.7404,0.7404,6746
1565887440,1565887499,0.742,0.742,0.742,0.742,216
1565887500,1565887559,0.742,0.742,0.742,0.742,6500
1565887560,1565887619,0.7421,0.7425,0.7421,0.7425,2000
1565887620,1565887679,0.742,0.742,0.741,0.741,4382
1565887680,1565887739,0.741,0.7411,0.74,0.74,21103
1565887740,1565887799,0.7371,0.7371,0.7369,0.7369,2000
1565888100,1565888159,0.7375,0.738,0.7375,0.738,1353
1565888160,1565888219,0.735,0.735,0.734,0.734,50
1565888220,1565888279,0.7341,0.7341,0.734,0.734,26199
1565888280,1565888339,0.7325,0.733,0.7325,0.733,4900
1565888460,1565888519,0.7348,0.7348,0.7348,0.7348,1500
1565888520,1565888579,0.7331,0.7331,0.733,0.733,2004
1565888580,1565888639,0.7334,0.7338,0.7334,0.7338,1548
1565888640,1565888699,0.7335,0.7335,0.7335,0.7335,1360
1565888700,1565888759,0.733,0.733,0.7327,0.7327,224
1565888760,1565888819,0.7325,0.7325,0.73,0.73,2615
1565888820,1565888879,0.7282,0.7298,0.7253,0.7298,3959
1565888880,1565888939,0.7292,0.7292,0.7292,0.7292,111
1565888940,1565888999,0.73,0.73,0.73,0.73,2620
1565889060,1565889119,0.7265,0.7268,0.725,0.725,12950
1565889180,1565889239,0.7281,0.7281,0.7266,0.7266,2837
1565889300,1565889359,0.7271,0.7276,0.7271,0.7276,1693
1565889540,1565889599,0.7271,0.7276,0.725,0.7276,6952
1565889600,1565889659,0.7272,0.7272,0.7272,0.7272,1282
1565889660,1565889719,0.7266,0.7266,0.7266,0.7266,158
1565889780,1565889839,0.7263,0.7263,0.7263,0.7263,343
1565889840,1565889899,0.725,0.725,0.725,0.725,617
1565889960,1565890019,0.7275,0.7279,0.7275,0.7279,778
1565890020,1565890079,0.728,0.728,0.728,0.728,13
1565890080,1565890139,0.7279,0.731,0.7279,0.731,13681
1565890200,1565890259,0.728,0.7288,0.728,0.7288,3491
1565890260,1565890319,0.7284,0.73,0.7284,0.73,9854
1565890440,1565890499,0.7281,0.7286,0.7281,0.7286,3426
1565890500,1565890559,0.728,0.7281,0.728,0.7281,7371
1565890560,1565890619,0.7281,0.7281,0.7281,0.7281,3348
1565890620,1565890679,0.73,0.7314,0.73,0.7314,2772
1565890680,1565890739,0.7315,0.7315,0.7315,0.7315,272
1565890740,1565890799,0.731,0.7311,0.7303,0.7305,2776
1565890800,1565890859,0.7302,0.7336,0.7302,0.7336,12492
1565891040,1565891099,0.7303,0.7312,0.7303,0.7312,731
1565891100,1565891159,0.7303,0.7303,0.7303,0.7303,145
1565891160,1565891219,0.7314,0.7317,0.7299,0.7299,1656
1565891280,1565891339,0.7296,0.7296,0.7296,0.7296,216
1565891340,1565891399,0.7306,0.7306,0.7306,0.7306,341
1565891400,1565891459,0.7308,0.7308,0.7308,0.7308,13
1565891460,1565891519,0.7303,0.7303,0.7303,0.7303,45
1565891520,1565891579,0.73,0.73,0.7292,0.7292,396
1565891580,1565891639,0.728,0.728,0.7266,0.7266,3462
1565891760,1565891819,0.7276,0.7276,0.7276,0.7276,61
1565891820,1565891879,0.7273,0.7273,0.7273,0.7273,242
1565891940,1565891999,0.7271,0.7271,0.7271,0.7271,157
1565892120,1565892179,0.7271,0.7271,0.7251,0.7251,5000
1565892420,1565892479,0.7256,0.7297,0.7256,0.7297,10052
1565892480,1565892539,0.7284,0.7284,0.7284,0.7284,500
1565892540,1565892599,0.7318,0.732,0.731,0.731,574
